127.0.0.1 - - [24/Apr/2021:14:12:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/ HTTP/1.1" 200 13351
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/owl.carousel.min.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/bootstrap.min.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 173046
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/flaticon.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/slicknav.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/animate.min.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 56058
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/magnific-popup.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/fontawesome-all.min.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 34684
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/slick.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [24/Apr/2021:14:12:09 +0900] "GET /test/resources/css/themify-icons.css;jsessionid=D56E39E459184F3E4D65954BD7628A54 HTTP/1.1" 200 17535
